service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20250528,20260604
000003,0,0,0,0,0,0,0,20250528,20260604
000004,0,0,0,0,0,0,0,20250528,20260604
000005,0,0,0,0,0,0,0,20250528,20260604
000006,0,0,0,0,0,0,0,20250528,20260604
000007,0,0,0,0,0,0,0,20250528,20260604
000008,0,0,0,0,0,0,0,20250528,20260604
000009,0,0,0,0,0,0,0,20250528,20260604
000010,0,0,0,0,0,0,0,20250528,20260604
000011,0,0,0,0,0,0,0,20250528,20260604
000012,0,0,0,0,0,0,0,20250528,20260604
000013,0,0,0,0,0,0,0,20250528,20260604
000014,0,0,0,0,0,0,0,20250528,20260604
000015,0,0,0,0,0,0,0,20250528,20260604
000016,0,0,0,0,0,0,0,20250528,20260604
000017,0,0,0,0,0,0,0,20250528,20260604
000018,0,0,0,0,0,0,0,20250528,20260604
000019,0,0,0,0,0,0,0,20250528,20260604
000020,0,0,0,0,0,0,0,20250528,20260604
000021,0,0,0,0,0,0,0,20250528,20260604
000022,0,0,0,0,0,0,0,20250528,20260604
000023,0,0,0,0,0,0,0,20250528,20260604
000024,0,0,0,0,0,0,0,20250528,20260604
000025,0,0,0,0,0,0,0,20250528,20260604
000026,0,0,0,0,0,0,0,20250528,20260604
000027,0,0,0,0,0,0,0,20250528,20260604
000028,0,0,0,0,0,0,0,20250528,20260604
000029,0,0,0,0,0,0,0,20250528,20260604
000030,0,0,0,0,0,0,0,20250528,20260604
000031,0,0,0,0,0,0,0,20250528,20260604
000040,0,0,0,0,0,0,0,20250528,20260604
000041,0,0,0,0,0,0,0,20250528,20260604
000042,0,0,0,0,0,0,0,20250528,20260604
000043,0,0,0,0,0,0,0,20250528,20260604
000044,0,0,0,0,0,0,0,20250528,20260604
000045,0,0,0,0,0,0,0,20250528,20260604
000046,0,0,0,0,0,0,0,20250528,20260604
000047,0,0,0,0,0,0,0,20250528,20260604
000048,0,0,0,0,0,0,0,20250528,20260604
000050,0,0,0,0,0,0,0,20250528,20260604
000065,0,0,0,0,0,0,0,20250528,20260604
000066,0,0,0,0,0,0,0,20250528,20260604
000067,0,0,0,0,0,0,0,20250528,20260604
000068,0,0,0,0,0,0,0,20250528,20260604
000069,0,0,0,0,0,0,0,20250528,20260604
000070,0,0,0,0,0,0,0,20250528,20260604
000071,0,0,0,0,0,0,0,20250528,20260604
000072,0,0,0,0,0,0,0,20250528,20260604
000073,0,0,0,0,0,0,0,20250528,20260604
000074,0,0,0,0,0,0,0,20250528,20260604
