stop_id,stop_name,stop_lat,stop_lon
de:16077:12579,"Altenburg (Thür.), Museum",50.992428,12.444498
de:16077:12470,"Altenburg (Thür.), Mühlpforte",50.984096,12.435803
de:16077:10968,"Altenburg (Thür.), Münsaer Str.",50.984663,12.449507
de:16077:12580,"Altenburg (Thür.), Offenburger Allee",51.001257,12.439039
de:16077:12483,"Altenburg (Thür.), Pappelstr.",50.981478,12.454727
de:16077:10891,"Altenburg (Thür.), Pauritzer Platz",50.990064,12.439279
de:16077:30961,"Altenburg (Thür.), Porphyrstr.",51.007863,12.455905
de:16077:10964,"Altenburg (Thür.), Puschkinstr.",50.984877,12.427000
de:16077:12603,"Altenburg (Thür.), Remsaer Str.",51.001813,12.459488
de:16077:22771,"Altenburg (Thür.), Richard-Wagner-Platz",50.995634,12.451305
de:16077:10893,"Altenburg (Thür.), Roßplan",50.983531,12.432086
de:16077:10785,"Altenburg (Thür.), Rudolf-Breitscheid-Str.",50.989559,12.428613
de:16077:10907,"Altenburg (Thür.), Schmöllnsche Vorstadt",50.983613,12.428402
de:16077:12581,"Altenburg (Thür.), Siegfried-Flack-Str.",51.001961,12.422146
de:16077:12460,"Altenburg (Thür.), Stadtwald",50.970209,12.432256
de:16077:12582,"Altenburg (Thür.), Stauffenbergstr.",50.997907,12.418727
de:16077:11309,"Altenburg (Thür.), Sternstr.",50.982047,12.418030
de:16077:12587,"Altenburg (Thür.), Theater",50.988034,12.437662
de:16077:31149,"Altenburg (Thür.), Theater (Ersatzhalt)",50.987489,12.439346
de:16077:10905,"Altenburg (Thür.), Zeitzer Str./Mehringstr.",50.992677,12.421676
de:16077:10967,"Altenburg (Thür.), Zschernitzscher Str.",51.006182,12.429056
de:16077:12480,"Altenburg (Thür.), Zwickauer Str.",50.979199,12.436908
de:14729:10676,Altengroitzsch (b. Pegau),51.138692,12.266170
de:14729:30297,"Altenhain (Trebsen), Ammelshainer Str.",51.292426,12.681397
de:14729:16789,"Altenhain (Trebsen), Grimmaer Str.",51.289465,12.696864
de:14729:16790,"Altenhain (Trebsen), Teich",51.291300,12.690285
de:14522:80135,"Altenhof (Bockelwitz), Wendestelle",51.167055,12.981211
de:14522:80134,"Altenhof, Abzweig",51.174247,12.975207
de:15084:5673,Altenroda (Bad Bibra),51.240921,11.568438
de:15084:5674,"Altenroda (Bad Bibra), Siedlung",51.238476,11.574532
de:14522:60642,Altgeringswalde,51.084226,12.920639
de:15084:3824,Altgroitzschen (Kretzschau),51.061552,12.077847
de:14713:12018,"Althen (Leipzig), Althener Anger",51.338796,12.517906
