from_stop_id,to_stop_id,transfer_type,min_transfer_time
de:14713:165,de:14713:8012187,2,300
de:15084:719,de:15084:15664,2,480
de:15084:766,de:15084:8013261,2,660
de:15084:773,de:15084:3344,2,240
de:15088:779,de:15088:8010291,2,180
de:15084:784,de:15084:20159,2,720
de:15084:784,de:15084:8010368,2,600
de:15002:825,de:15002:5008,2,240
de:15002:825,de:15002:8010159,2,600
de:14730:915,de:14730:8010351,2,180
de:15089:1680,de:15089:8010194,2,180
de:15087:2294,de:15087:8010299,2,300
de:15088:2318,de:15088:8010291,2,720
de:15087:2635,de:15087:8012279,2,240
de:15001:3167,de:15001:8010077,2,240
de:15084:3344,de:15084:773,2,240
de:15084:3349,de:15084:3358,2,360
de:15084:3358,de:15084:3349,2,360
de:15084:3363,de:15084:5919,2,180
de:15084:3509,de:15084:8010349,2,360
de:15084:3511,de:15084:3529,2,1440
de:15084:3529,de:15084:3511,2,1440
de:15084:3543,de:15084:8010146,2,300
de:15002:3937,de:15002:5197,2,240
de:15088:3948,de:15088:8012867,2,600
de:15084:4031,de:15084:15664,2,540
de:15084:4032,de:15084:15664,2,840
de:15084:4041,de:15084:8013115,2,480
de:15084:4044,de:15084:8010078,2,1200
de:15084:4081,de:15084:4097,2,360
de:15084:4083,de:15084:4099,2,540
de:15084:4097,de:15084:4081,2,360
de:15084:4099,de:15084:4083,2,540
de:15084:4122,de:15084:8010390,2,240
de:15084:4127,de:15084:4128,2,300
de:15084:4128,de:15084:4127,2,300
de:15084:4178,de:15084:8013297,2,300
de:15084:4258,de:15084:22506,2,240
de:15084:4267,de:15084:30267,2,180
de:15084:4280,de:15084:22504,2,180
de:15084:4281,de:15084:8012429,2,240
de:15084:4282,de:15084:8012034,2,180
de:15084:4290,de:15084:22508,2,120
de:15084:4315,de:15084:8011573,2,60
de:15084:4316,de:15084:30267,2,240
de:15084:4338,de:15084:8012743,2,240
de:15084:4339,de:15084:8011993,2,120
de:15084:4376,de:15084:22502,2,180
de:15084:4376,de:15084:8010240,2,180
de:15084:4397,de:15084:22509,2,180
de:15084:4404,de:15084:8010019,2,300
de:15084:4406,de:15084:22506,2,300
de:15084:4406,de:15084:22507,2,300
de:15084:4457,de:15084:8012167,2,300
de:15082:4597,de:15082:8012788,2,600
de:15082:4681,de:15082:8011260,2,900
de:15082:4731,de:15082:8010050,2,300
de:15002:4984,de:15002:8011814,2,780
de:15002:5008,de:15002:825,2,240
de:15002:5009,de:15002:8080570,2,120
de:15088:5036,de:15088:10430,2,240
de:15088:5039,de:15088:8011376,2,600
de:15088:5043,de:15088:8011071,2,180
de:15002:5059,de:15002:8080620,2,360
de:15002:5061,de:15002:9354,2,240
de:15002:5096,de:15002:8080560,2,300
de:15002:5107,de:15002:5143,2,720
de:15002:5122,de:15002:8010160,2,300
de:15002:5127,de:15002:5217,2,240
de:15002:5127,de:15002:8010162,2,180
de:15002:5143,de:15002:5107,2,720
de:15002:5147,de:15002:8080590,2,420
de:15002:5178,de:15002:31016,2,180
de:15002:5196,de:15002:8011813,2,240
de:15002:5197,de:15002:3937,2,240
de:15002:5202,de:15002:16754,2,900
de:15088:5205,de:15088:8012867,2,840
de:15002:5207,de:15002:8013448,2,360
de:15002:5217,de:15002:5127,2,240
de:15002:5217,de:15002:8010162,2,180
de:15088:5226,de:15088:9791,2,300
de:15088:5226,de:15088:10133,2,600
de:15088:5226,de:15088:8010232,2,600
de:15002:5236,de:15002:8080580,2,120
de:15002:5245,de:15002:8080600,2,480
de:15002:5438,de:15002:11316,2,180
de:15002:5438,de:15002:8010159,2,420
de:15002:5438,de:15002:8070814,2,300
de:15084:5659,de:15084:22505,2,180
de:15084:5688,de:15084:20077,2,1200
de:15084:5688,de:15084:8012417,2,180
de:15002:5722,de:15002:8080610,2,600
de:15088:5764,de:15088:8012147,2,300
de:15084:5919,de:15084:3363,2,180
de:14729:6475,de:14729:12548,2,180
de:14729:6479,de:14729:11917,2,300
de:12062:900415464,de:12062:900415464,2,180
de:15002:9354,de:15002:5061,2,240
de:15091:9441,de:15091:8013418,2,300
de:15088:9590,de:15088:8011043,2,600
de:15088:9594,de:15088:8011043,2,540
de:15088:9615,de:15088:8011177,2,300
de:15088:9728,de:15088:8011402,2,900
de:15088:9751,de:15088:8013111,2,300
de:15088:9791,de:15088:5226,2,300
de:15088:9805,de:15088:8012080,2,300
de:15088:9822,de:15088:8012114,2,900
de:15088:9860,de:15088:8011711,2,480
de:15088:9873,de:15088:30770,2,180
de:15088:9873,de:15088:8011752,2,480
de:14729:9889,de:14729:9894,2,180
de:14729:9889,de:14729:11815,2,180
de:14729:9894,de:14729:9889,2,180
de:14729:9894,de:14729:11815,2,180
de:15088:9923,de:15088:8012392,2,360
de:15088:9934,de:15088:8012424,2,480
de:15088:9961,de:15088:8011905,2,360
de:15088:10133,de:15088:5226,2,600
de:15088:10133,de:15088:8010232,2,300
de:15088:10156,de:15088:8012390,2,360
de:15088:10169,de:15088:10171,2,600
de:15088:10169,de:15088:30516,2,300
de:15088:10169,de:15088:8012506,2,300
de:15088:10171,de:15088:10169,2,600
de:15088:10171,de:15088:8012506,2,420
de:15088:10208,de:15088:8012757,2,300
de:15088:10244,de:15088:8013097,2,120
de:15088:10272,de:15088:17179,2,600
de:15088:10272,de:15088:8013414,2,480
de:15088:10414,de:15088:8012339,2,300
de:15088:10430,de:15088:5036,2,240
de:14729:10637,de:14729:8010046,2,60
de:14730:10647,de:14730:8010095,2,180
de:14729:10684,de:14729:16950,2,180
de:14729:10689,de:14729:8010059,2,480
de:16077:10701,de:16077:10705,2,60
de:16077:10705,de:16077:10701,2,60
de:14713:10762,de:14713:11102,2,180
de:14713:10795,de:14713:11122,2,180
de:14524:10808,de:14524:10561,2,300
de:14713:10811,de:14713:11412,2,480
de:14713:10811,de:14713:12995,2,420
de:14713:10811,de:14713:13000,2,300
de:14713:10811,de:14713:15738,2,300
de:14713:10811,de:14713:8010205,2,480
de:14713:10811,de:14713:8098205,2,300
de:14713:10814,de:14713:8010209,2,240
de:14713:10818,de:14713:11788,2,180
de:14713:10824,de:14713:8012478,2,300
de:14713:10856,de:14713:11542,2,180
